Provinsi;Kode;Jumlah_siswa
Jawa Barat;1;1486
DKI Jakarta;2;878
Sumatera Barat;3;157
Yogyakarta;4;59
Jawa Tengah;5;307
Jawa Timur;6;330
Sumatera Utara;7;186
Banten;8;246
Lampung;9;50
Kalimantan Tengah;10;8
Sulawesi Selatan;11;27
Sumatera Selatan;12;47
Riau;13;69
Kepulauan Riau;14;25
Kalimantan Timur;15;30
Nusa Tenggara Barat;16;14
Maluku Utara;17;3
Kalimantan Barat;18;5
Sulawesi Barat;19;6
Gorontalo;20;10
Jambi;21;30
Papua Barat;22;8
Aceh;23;13
Bali;24;31
Nusa Tenggara Timur;25;5
Kalimantan Selatan;26;4
Papua;27;8
Maluku;28;7
Sulawesi Tengah;29;10
Kalimantan Utara;31;4
Bengkulu;32;15
Sulawesi Utara;33;8
Bangka Belitung;34;4
Sulawesi Tenggara;35;6

